Período;Região;Entidade;Localização Geográfica;Nº Consultas Médicas Presenciais (QT);Nº de Consultas Médicas Não Presenciais ou Inespecíficas (Qt);Nº de Consultas Médicas ao Domicílio (Qt)
2015-11;Região de Saúde LVT;ACES Cascais;38.69904,-9.3818008;28204;8689.0;130.0
2015-11;Região de Saúde LVT;ACES Lisboa Norte;38.7396924,-9.168506;35222;6944.0;404.0
2015-11;Região de Saúde LVT;ACES Loures-Odivelas;38.8012718,-9.1137868;52930;12506.0;386.0
2015-11;Região de Saúde LVT;ACES Oeste Sul;39.0917759,-9.2600341;31710;7629.0;315.0
2015-11;Região de Saúde Norte;ACES Cávado I - Braga;41.5518714,-8.4126362;32399;13363.0;534.0
2015-11;Região de Saúde Norte;ACES Cávado III - Barcelos e Esposende;41.5317419,-8.6178922;35042;13229.0;332.0
2015-11;Região de Saúde Norte;ACES Douro II - Douro Sul;41.0953745,-7.8123805;15903;5746.0;178.0
2015-11;Região de Saúde Norte;ACES Grande Porto II - Gondomar;41.1738444,-8.5612238;34437;16227.0;418.0
2015-12;Região de Saúde do Algarve;ACES Algarve II - Algarve Barlavento;37.1387554,-8.5445093;23187;7790.0;119.0
2015-12;Região de Saúde do Centro;ACES Beira Interior Sul;39.8211367,-7.5036651;9429;4608.0;21.0
2015-12;Região de Saúde LVT;ACES Arco Ribeirinho;38.6672076,-9.0543329;32102;9025.0;192.0
2015-12;Região de Saúde Norte;ACES Alto Ave - Guimarães, Vizela e Terras de Basto;41.4417064,-8.1722408;49285;19731.0;509.0
2015-12;Região de Saúde Norte;ACES Grande Porto VIII - Espinho/Gaia;41.0022421,-8.642018;30299;16069.0;375.0
2015-12;Região de Saúde Norte;ACES Matosinhos;41.1918541,-8.6590693;27923;15061.0;377.0
2016-01;Região de Saúde do Centro;ACES Dão Lafões;40.6565861,-7.9124712;52092;18342.0;630.0
2016-01;Região de Saúde LVT;ACES Almada-Seixal;38.6678522,-9.1875777;59870;20267.0;602.0
2016-01;Região de Saúde LVT;ACES Lisboa Ocidental e Oeiras;38.6914388,-9.3184304;33144;9044.0;406.0
2016-01;Região de Saúde LVT;ACES Oeste Sul;39.0917759,-9.2600341;31076;8314.0;358.0
2016-01;Região de Saúde Norte;ACES Cávado II - Gerês e Cabreira;41.6298661,-8.3596897;18465;12106.0;300.0
2016-01;Região de Saúde Norte;ACES Grande Porto I - Santo Tirso e Trofa;41.3469246,-8.4822648;20460;12490.0;233.0
2016-01;Região de Saúde Norte;ACES Grande Porto II - Gondomar;41.1738444,-8.5612238;32058;16829.0;410.0
2016-01;Região de Saúde Norte;ACES Grande Porto III - Maia e Valongo;41.2333945,-8.6187474;37218;20655.0;440.0
2016-01;Região de Saúde Norte;ACES Grande Porto V - Porto Ocidental;41.1741353,-8.6691662;26984;12086.0;423.0
2016-01;Região de Saúde Norte;ACES Tâmega II - Vale do Sousa Sul;41.1548155,-8.2163769;36421;16017.0;518.0
2016-01;Região de Saúde Norte;ACES Tâmega III - Vale do Sousa Norte;41.2793583,-8.2787457;30115;15508.0;272.0
2016-02;Região de Saúde do Algarve;ACES Algarve I - Algarve Central;37.0274264,-7.9395984;37669;12275.0;336.0
2016-02;Região de Saúde do Algarve;ACES Algarve III - Algarve Sotavento;37.383008,-7.7293275;10924;4110.0;142.0
2016-02;Região de Saúde do Centro;ACES Pinhal Interior Norte;40.1151262,-8.2473136;23031;14547.0;184.0
2016-02;Região de Saúde LVT;ACES Almada-Seixal;38.6678522,-9.1875777;61549;19779.0;591.0
2016-02;Região de Saúde LVT;ACES Amadora;38.7573081,-9.23429;25665;5749.0;104.0
2016-02;Região de Saúde LVT;ACES Cascais;38.69904,-9.3818008;26605;9126.0;168.0
2016-02;Região de Saúde LVT;ACES Lisboa Norte;38.7396924,-9.168506;33553;7524.0;427.0
2016-02;Região de Saúde LVT;ACES Loures-Odivelas;38.8012718,-9.1137868;52859;12951.0;393.0
2016-02;Região de Saúde Norte;ACES Ave - Famalicão;41.3835805,-8.4157518;23168;8713.0;222.0
2016-02;Região de Saúde Norte;ACES Cávado II - Gerês e Cabreira;41.6298661,-8.3596897;19103;10738.0;310.0
2016-02;Região de Saúde Norte;ACES Grande Porto IV - Póvoa do Varzim e Vila do Conde;41.355519,-8.746653;26401;13709.0;294.0
2016-02;Região de Saúde Norte;ACES Matosinhos;41.1918541,-8.6590693;32021;14940.0;412.0
2016-02;Região de Saúde Norte;ACES Tâmega III - Vale do Sousa Norte;41.2793583,-8.2787457;29885;14203.0;311.0
2016-03;Região de Saúde do Alentejo;ACES Alentejo Litoral;38.3841359,-8.5132031;15866;6907.0;134.0
2016-03;Região de Saúde do Alentejo;ACES São Mamede;39.2967086,-7.4284755;27455;13696.0;444.0
2016-03;Região de Saúde do Algarve;ACES Algarve I - Algarve Central;37.0274264,-7.9395984;39934;12749.0;327.0
2016-03;Região de Saúde do Centro;ACES Dão Lafões;40.6565861,-7.9124712;56260;18063.0;835.0
2016-03;Região de Saúde do Centro;ACES Pinhal Interior Sul;39.7510898,-7.9203657;5763;3142.0;8.0
2016-03;Região de Saúde do Centro;ACES Pinhal Litoral;39.7495331,-8.807683;48750;16444.0;213.0
2016-03;Região de Saúde LVT;ACES Lisboa Central;38.7306317,-9.1510414;41802;10099.0;259.0
2016-03;Região de Saúde LVT;ACES Sintra;38.7519209,-9.2753636;56703;12683.0;299.0
2016-03;Região de Saúde Norte;ACES Alto Minho;41.7056054,-8.8252713;57092;23750.0;771.0
2016-03;Região de Saúde Norte;ACES Cávado III - Barcelos e Esposende;41.5317419,-8.6178922;35394;12752.0;363.0
2016-03;Região de Saúde Norte;ACES Grande Porto V - Porto Ocidental;41.1741353,-8.6691662;30078;12220.0;469.0
2016-03;Região de Saúde Norte;ACES Grande Porto VI - Porto Oriental;41.1694498,-8.6126428;22574;9150.0;343.0
2016-03;Região de Saúde Norte;ACES Tâmega II - Vale do Sousa Sul;41.1548155,-8.2163769;39641;15149.0;466.0
2016-04;Região de Saúde do Alentejo;ACES Alentejo Central;38.8442031,-7.5826619;33921;17748.0;340.0
2016-04;Região de Saúde do Algarve;ACES Algarve II - Algarve Barlavento;37.1387554,-8.5445093;25456;7682.0;119.0
2016-04;Região de Saúde do Algarve;ACES Algarve III - Algarve Sotavento;37.383008,-7.7293275;10301;4070.0;161.0
2016-04;Região de Saúde do Centro;ACES Baixo Vouga;40.6405055,-8.6537539;72805;28312.0;541.0
2016-04;Região de Saúde do Centro;ACES Pinhal Interior Norte;40.1151262,-8.2473136;21694;14837.0;158.0
2016-04;Região de Saúde do Centro;ACES Pinhal Interior Sul;39.7510898,-7.9203657;5140;2767.0;6.0
2016-04;Região de Saúde do Centro;ACES Pinhal Litoral;39.7495331,-8.807683;43122;15038.0;203.0
2016-04;Região de Saúde LVT;ACES Cascais;38.69904,-9.3818008;26196;8791.0;159.0
2016-04;Região de Saúde LVT;ACES Médio Tejo;39.478072,-8.5404429;43606;12778.0;375.0
2016-04;Região de Saúde LVT;ACES Oeste Sul;39.0917759,-9.2600341;29891;8776.0;291.0
2016-04;Região de Saúde LVT;ACES Sintra;38.7519209,-9.2753636;50327;11684.0;272.0
2016-04;Região de Saúde Norte;ACES Ave - Famalicão;41.3835805,-8.4157518;22963;9150.0;182.0
2016-04;Região de Saúde Norte;ACES Grande Porto IV - Póvoa do Varzim e Vila do Conde;41.355519,-8.746653;25685;13677.0;333.0
2016-04;Região de Saúde Norte;ACES Tâmega I - Baixo Tâmega;41.2719719,-8.0791631;32555;12453.0;297.0
2016-04;Região de Saúde Norte;ACES Tâmega II - Vale do Sousa Sul;41.1548155,-8.2163769;34932;14679.0;407.0
2016-05;Região de Saúde do Alentejo;ACES Alentejo Central;38.8442031,-7.5826619;35908;19432.0;388.0
2016-05;Região de Saúde do Alentejo;ACES Baixo Alentejo;38.0153039,-7.8627308;26351;13121.0;388.0
2016-05;Região de Saúde do Alentejo;ACES São Mamede;39.2967086,-7.4284755;26577;13908.0;489.0
2016-05;Região de Saúde do Algarve;ACES Algarve II - Algarve Barlavento;37.1387554,-8.5445093;26783;8382.0;128.0
2016-05;Região de Saúde LVT;ACES Amadora;38.7573081,-9.23429;25606;6327.0;89.0
2016-05;Região de Saúde LVT;ACES Cascais;38.69904,-9.3818008;27355;9271.0;142.0
2016-05;Região de Saúde LVT;ACES Lisboa Central;38.7306317,-9.1510414;40541;10198.0;223.0
2016-05;Região de Saúde LVT;ACES Loures-Odivelas;38.8012718,-9.1137868;53681;13844.0;341.0
2016-05;Região de Saúde LVT;ACES Médio Tejo;39.478072,-8.5404429;45834;13099.0;327.0
2016-05;Região de Saúde LVT;ACES Sintra;38.7519209,-9.2753636;53253;12594.0;257.0
2016-05;Região de Saúde Norte;ACES Alto Trás-os-Montes - Nordeste;41.8069684,-6.7587977;25481;8947.0;317.0
2016-05;Região de Saúde Norte;ACES Cávado I - Braga;41.5518714,-8.4126362;34721;14444.0;524.0
2016-05;Região de Saúde Norte;ACES Grande Porto IV - Póvoa do Varzim e Vila do Conde;41.355519,-8.746653;26750;14819.0;351.0
2016-05;Região de Saúde Norte;ACES Tâmega I - Baixo Tâmega;41.2719719,-8.0791631;34663;12567.0;291.0
2016-05;Região de Saúde Norte;ACES Tâmega III - Vale do Sousa Norte;41.2793583,-8.2787457;31124;15220.0;277.0
2016-06;Região de Saúde do Alentejo;ACES Baixo Alentejo;38.0153039,-7.8627308;24985;13490.0;344.0
2016-06;Região de Saúde do Centro;ACES Pinhal Litoral;39.7495331,-8.807683;43780;16703.0;176.0
2016-06;Região de Saúde LVT;ACES Arco Ribeirinho;38.6672076,-9.0543329;32231;10233.0;179.0
2016-06;Região de Saúde LVT;ACES Lisboa Central;38.7306317,-9.1510414;36406;10091.0;235.0
2016-06;Região de Saúde LVT;ACES Lisboa Norte;38.7396924,-9.168506;32356;8074.0;447.0
2016-06;Região de Saúde Norte;ACES Alto Trás-os-Montes - Nordeste;41.8069684,-6.7587977;24000;8514.0;377.0
2016-06;Região de Saúde Norte;ACES Cávado I - Braga;41.5518714,-8.4126362;29867;12618.0;527.0
2016-06;Região de Saúde Norte;ACES Douro I - Marão e Douro Norte;41.2968711,-7.7483727;19997;10614.0;293.0
2016-06;Região de Saúde Norte;ACES Grande Porto II - Gondomar;41.1738444,-8.5612238;31179;16641.0;500.0
2016-07;Região de Saúde do Algarve;ACES Algarve II - Algarve Barlavento;37.1387554,-8.5445093;22400;7466.0;101.0
2016-07;Região de Saúde LVT;ACES Almada-Seixal;38.6678522,-9.1875777;53610;19069.0;573.0
2016-07;Região de Saúde LVT;ACES Arrábida;38.5324373,-8.8627453;28768;12298.0;215.0
2016-07;Região de Saúde LVT;ACES Loures-Odivelas;38.8012718,-9.1137868;45998;13019.0;258.0
2016-07;Região de Saúde LVT;ACES Médio Tejo;39.478072,-8.5404429;37354;12379.0;255.0
2016-07;Região de Saúde LVT;ACES Oeste Norte;39.410844,-9.1396215;30324;12210.0;196.0
2016-07;Região de Saúde Norte;ACES Alto Trás-os-Montes - Nordeste;41.8069684,-6.7587977;20184;8252.0;219.0
2016-07;Região de Saúde Norte;ACES Cávado I - Braga;41.5518714,-8.4126362;29382;12393.0;440.0
2016-07;Região de Saúde Norte;ACES Douro II - Douro Sul;41.0953745,-7.8123805;13518;5827.0;136.0
2016-08;Região de Saúde do Algarve;ACES Algarve I - Algarve Central;37.0274264,-7.9395984;33951;11662.0;211.0
2016-08;Região de Saúde do Centro;ACES Pinhal Litoral;39.7495331,-8.807683;39820;16703.0;144.0
2016-08;Região de Saúde LVT;ACES Almada-Seixal;38.6678522,-9.1875777;50587;19913.0;506.0
2016-08;Região de Saúde LVT;ACES Arrábida;38.5324373,-8.8627453;29789;13459.0;187.0
2016-08;Região de Saúde LVT;ACES Cascais;38.69904,-9.3818008;22611;6604.0;133.0
2016-08;Região de Saúde Norte;ACES Alto Ave - Guimarães, Vizela e Terras de Basto;41.4417064,-8.1722408;47175;21913.0;378.0
2016-08;Região de Saúde Norte;ACES Alto Minho;41.7056054,-8.8252713;48262;24888.0;556.0
2016-08;Região de Saúde Norte;ACES Alto Trás-os-Montes - Alto Tâmega e Barroso;41.741781,-7.4731648;13721;6092.0;106.0
2016-08;Região de Saúde Norte;ACES Cávado III - Barcelos e Esposende;41.5317419,-8.6178922;28181;12726.0;258.0
2016-08;Região de Saúde Norte;ACES Entre Douro e Vouga I - Feira e Arouca;40.9263169,-8.5478813;24555;14470.0;255.0
2016-08;Região de Saúde Norte;ACES Grande Porto VII - Gaia;41.1278433,-8.580396;21639;13321.0;284.0
2016-08;Região de Saúde Norte;ACES Tâmega III - Vale do Sousa Norte;41.2793583,-8.2787457;26219;14875.0;226.0
2016-09;Região de Saúde do Centro;ACES Pinhal Interior Norte;40.1151262,-8.2473136;21842;16709.0;137.0
2016-09;Região de Saúde do Centro;ACES Pinhal Interior Sul;39.7510898,-7.9203657;5093;3547.0;5.0
2016-09;Região de Saúde LVT;ACES Arco Ribeirinho;38.6672076,-9.0543329;32751;10772.0;162.0
2016-09;Região de Saúde LVT;ACES Cascais;38.69904,-9.3818008;25307;6688.0;145.0
2016-09;Região de Saúde LVT;ACES Sintra;38.7519209,-9.2753636;48674;13706.0;235.0
2016-09;Região de Saúde Norte;ACES Alto Ave - Guimarães, Vizela e Terras de Basto;41.4417064,-8.1722408;55336;24536.0;577.0
2016-09;Região de Saúde Norte;ACES Alto Trás-os-Montes - Nordeste;41.8069684,-6.7587977;23649;9987.0;316.0
2016-09;Região de Saúde Norte;ACES Cávado II - Gerês e Cabreira;41.6298661,-8.3596897;19039;12709.0;282.0
2016-09;Região de Saúde Norte;ACES Entre Douro e Vouga I - Feira e Arouca;40.9263169,-8.5478813;29329;16602.0;355.0
2016-09;Região de Saúde Norte;ACES Grande Porto V - Porto Ocidental;41.1741353,-8.6691662;27486;13495.0;365.0
2016-09;Região de Saúde Norte;ACES Grande Porto VII - Gaia;41.1278433,-8.580396;24689;14189.0;332.0
2016-10;Região de Saúde do Alentejo;ACES Baixo Alentejo;38.0153039,-7.8627308;25022;13149.0;225.0
2016-10;Região de Saúde do Centro;ACES Cova da Beira;40.2677741,-7.4995083;13109;6582.0;10.0
2016-10;Região de Saúde do Centro;ACES Pinhal Interior Norte;40.1151262,-8.2473136;22797;16466.0;204.0
2016-10;Região de Saúde LVT;ACES Lisboa Norte;38.7396924,-9.168506;33633;8838.0;411.0
2016-10;Região de Saúde LVT;ACES Lisboa Ocidental e Oeiras;38.6914388,-9.3184304;33738;10406.0;327.0
2016-10;Região de Saúde LVT;ACES Loures-Odivelas;38.8012718,-9.1137868;51681;15165.0;321.0
2016-10;Região de Saúde LVT;ACES Oeste Norte;39.410844,-9.1396215;35082;14148.0;270.0
2016-10;Região de Saúde Norte;ACES Alto Minho;41.7056054,-8.8252713;52879;26009.0;766.0
2016-10;Região de Saúde Norte;ACES Cávado II - Gerês e Cabreira;41.6298661,-8.3596897;18198;12169.0;304.0
2016-10;Região de Saúde Norte;ACES Grande Porto VIII - Espinho/Gaia;41.0022421,-8.642018;33775;20032.0;409.0
2016-10;Região de Saúde Norte;ACES Tâmega III - Vale do Sousa Norte;41.2793583,-8.2787457;29382;16759.0;343.0
2016-11;Região de Saúde do Alentejo;ACES Alentejo Central;38.8442031,-7.5826619;39846;19278.0;481.0
2016-11;Região de Saúde do Alentejo;ACES Alentejo Litoral;38.3841359,-8.5132031;16840;7572.0;114.0
2016-11;Região de Saúde do Alentejo;ACES São Mamede;39.2967086,-7.4284755;28312;14034.0;423.0
2016-11;Região de Saúde do Centro;ACES Pinhal Interior Norte;40.1151262,-8.2473136;24166;15359.0;252.0
2016-11;Região de Saúde LVT;ACES Loures-Odivelas;38.8012718,-9.1137868;55693;15248.0;315.0
2016-11;Região de Saúde Norte;ACES Alto Ave - Guimarães, Vizela e Terras de Basto;41.4417064,-8.1722408;58809;23724.0;609.0
2016-11;Região de Saúde Norte;ACES Alto Trás-os-Montes - Nordeste;41.8069684,-6.7587977;24775;9014.0;545.0
2016-11;Região de Saúde Norte;ACES Douro I - Marão e Douro Norte;41.2968711,-7.7483727;20930;11701.0;369.0
2016-11;Região de Saúde Norte;ACES Grande Porto VII - Gaia;41.1278433,-8.580396;26723;15235.0;344.0
2016-12;Região de Saúde do Alentejo;ACES Alentejo Central;38.8442031,-7.5826619;33809;17212.0;327.0
2016-12;Região de Saúde do Algarve;ACES Algarve III - Algarve Sotavento;37.383008,-7.7293275;9433;4213.0;72.0
2016-12;Região de Saúde do Centro;ACES Baixo Vouga;40.6405055,-8.6537539;65530;27624.0;548.0
2016-12;Região de Saúde do Centro;ACES Pinhal Litoral;39.7495331,-8.807683;39031;15784.0;185.0
2016-12;Região de Saúde LVT;ACES Amadora;38.7573081,-9.23429;24090;5705.0;114.0
2016-12;Região de Saúde LVT;ACES Arco Ribeirinho;38.6672076,-9.0543329;30280;9224.0;184.0
2016-12;Região de Saúde LVT;ACES Cascais;38.69904,-9.3818008;25626;5790.0;152.0
2016-12;Região de Saúde LVT;ACES Lisboa Norte;38.7396924,-9.168506;30528;7632.0;443.0
2016-12;Região de Saúde LVT;ACES Lisboa Ocidental e Oeiras;38.6914388,-9.3184304;31339;9209.0;332.0
2016-12;Região de Saúde LVT;ACES Loures-Odivelas;38.8012718,-9.1137868;46585;13645.0;285.0
2016-12;Região de Saúde Norte;ACES Alto Trás-os-Montes - Nordeste;41.8069684,-6.7587977;18489;7720.0;288.0
2016-12;Região de Saúde Norte;ACES Grande Porto VII - Gaia;41.1278433,-8.580396;21744;13327.0;298.0
2016-12;Região de Saúde Norte;ACES Tâmega III - Vale do Sousa Norte;41.2793583,-8.2787457;26554;14319.0;311.0
2017-01;Região de Saúde do Alentejo;ACES Alentejo Litoral;38.3841359,-8.5132031;17874;7465.0;182.0
2017-01;Região de Saúde do Centro;ACES Pinhal Interior Norte;40.1151262,-8.2473136;26009;16176.0;256.0
2017-01;Região de Saúde LVT;ACES Almada-Seixal;38.6678522,-9.1875777;61954;22112.0;630.0
2017-01;Região de Saúde LVT;ACES Estuário do Tejo;38.9528113,-8.9911154;44804;7850.0;196.0
2017-01;Região de Saúde LVT;ACES Lisboa Ocidental e Oeiras;38.6914388,-9.3184304;38425;9902.0;428.0
2017-01;Região de Saúde Norte;ACES Alto Ave - Guimarães, Vizela e Terras de Basto;41.4417064,-8.1722408;63031;25213.0;659.0
2017-01;Região de Saúde Norte;ACES Alto Minho;41.7056054,-8.8252713;60504;27363.0;975.0
2017-01;Região de Saúde Norte;ACES Cávado II - Gerês e Cabreira;41.6298661,-8.3596897;21328;13489.0;404.0
2017-01;Região de Saúde Norte;ACES Cávado III - Barcelos e Esposende;41.5317419,-8.6178922;37418;15783.0;452.0
2017-01;Região de Saúde Norte;ACES Grande Porto VIII - Espinho/Gaia;41.0022421,-8.642018;37500;19955.0;517.0
2017-02;Região de Saúde do Algarve;ACES Algarve III - Algarve Sotavento;37.383008,-7.7293275;9957;3861.0;100.0
2017-02;Região de Saúde do Centro;ACES Baixo Mondego;40.2150023,-8.4071805;57798;32207.0;446.0
2017-02;Região de Saúde do Centro;ACES Pinhal Interior Norte;40.1151262,-8.2473136;21900;13694.0;262.0
2017-02;Região de Saúde do Centro;ACES Pinhal Litoral;39.7495331,-8.807683;43363;15273.0;209.0
2017-02;Região de Saúde LVT;ACES Arco Ribeirinho;38.6672076,-9.0543329;31119;9583.0;197.0
2017-02;Região de Saúde LVT;ACES Arrábida;38.5324373,-8.8627453;32332;11505.0;245.0
2017-02;Região de Saúde LVT;ACES Cascais;38.69904,-9.3818008;26665;8506.0;164.0
2017-02;Região de Saúde Norte;ACES Ave - Famalicão;41.3835805,-8.4157518;21282;8584.0;225.0
2017-02;Região de Saúde Norte;ACES Entre Douro e Vouga I - Feira e Arouca;40.9263169,-8.5478813;28125;13411.0;365.0
2017-02;Região de Saúde Norte;ACES Grande Porto I - Santo Tirso e Trofa;41.3469246,-8.4822648;19340;10928.0;277.0
2017-03;Região de Saúde do Alentejo;ACES Baixo Alentejo;38.0153039,-7.8627308;29087;14479.0;342.0
2017-03;Região de Saúde do Algarve;ACES Algarve II - Algarve Barlavento;37.1387554,-8.5445093;24820;8973.0;101.0
2017-03;Região de Saúde do Centro;ACES Guarda;40.5353285,-7.2724426;28406;10860.0;184.0
2017-03;Região de Saúde do Centro;ACES Pinhal Interior Norte;40.1151262,-8.2473136;26819;16764.0;230.0
2017-03;Região de Saúde do Centro;ACES Pinhal Interior Sul;39.7510898,-7.9203657;5855;3532.0;18.0
2017-03;Região de Saúde LVT;ACES Lezíria;39.2371689,-8.6908895;40815;17698.0;271.0
2017-03;Região de Saúde Norte;ACES Cávado II - Gerês e Cabreira;41.6298661,-8.3596897;21553;13057.0;368.0
2017-03;Região de Saúde Norte;ACES Douro I - Marão e Douro Norte;41.2968711,-7.7483727;23555;12245.0;364.0
2017-03;Região de Saúde Norte;ACES Entre Douro e Vouga I - Feira e Arouca;40.9263169,-8.5478813;33738;17080.0;448.0
2017-03;Região de Saúde Norte;ACES Grande Porto I - Santo Tirso e Trofa;41.3469246,-8.4822648;23992;13500.0;355.0
2017-03;Região de Saúde Norte;ACES Tâmega II - Vale do Sousa Sul;41.1548155,-8.2163769;39917;17935.0;463.0
2017-03;Região de Saúde Norte;ACES Tâmega III - Vale do Sousa Norte;41.2793583,-8.2787457;35189;16935.0;363.0
2017-04;Região de Saúde do Algarve;ACES Algarve III - Algarve Sotavento;37.383008,-7.7293275;9376;3797.0;97.0
2017-04;Região de Saúde do Centro;ACES Pinhal Litoral;39.7495331,-8.807683;40178;14766.0;222.0
2017-04;Região de Saúde LVT;ACES Amadora;38.7573081,-9.23429;21603;5322.0;109.0
2017-04;Região de Saúde LVT;ACES Estuário do Tejo;38.9528113,-8.9911154;35328;6790.0;124.0
2017-04;Região de Saúde LVT;ACES Lisboa Norte;38.7396924,-9.168506;29085;6969.0;314.0
2017-04;Região de Saúde LVT;ACES Médio Tejo;39.478072,-8.5404429;37057;11034.0;205.0
2017-04;Região de Saúde Norte;ACES Alto Trás-os-Montes - Nordeste;41.8069684,-6.7587977;20586;7401.0;282.0
2017-04;Região de Saúde Norte;ACES Douro II - Douro Sul;41.0953745,-7.8123805;13442;5432.0;173.0
2017-04;Região de Saúde Norte;ACES Grande Porto I - Santo Tirso e Trofa;41.3469246,-8.4822648;17230;10114.0;228.0
2017-04;Região de Saúde Norte;ACES Grande Porto IV - Póvoa do Varzim e Vila do Conde;41.355519,-8.746653;22083;12370.0;274.0
2017-04;Região de Saúde Norte;ACES Grande Porto VI - Porto Oriental;41.1694498,-8.6126428;17557;8400.0;262.0
2017-04;Região de Saúde Norte;ACES Tâmega III - Vale do Sousa Norte;41.2793583,-8.2787457;25440;13783.0;229.0
2017-05;Região de Saúde do Centro;ACES Baixo Vouga;40.6405055,-8.6537539;74869;33326.0;601.0
2017-05;Região de Saúde do Centro;ACES Cova da Beira;40.2677741,-7.4995083;14235;7411.0;11.0
2017-05;Região de Saúde LVT;ACES Almada-Seixal;38.6678522,-9.1875777;58006;21468.0;457.0
2017-05;Região de Saúde LVT;ACES Arco Ribeirinho;38.6672076,-9.0543329;32581;12257.0;164.0
2017-05;Região de Saúde LVT;ACES Oeste Sul;39.0917759,-9.2600341;29629;10774.0;195.0
2017-06;Região de Saúde do Alentejo;ACES Baixo Alentejo;38.0153039,-7.8627308;24217;12505.0;276.0
2017-06;Região de Saúde do Algarve;ACES Algarve III - Algarve Sotavento;37.383008,-7.7293275;10333;4139.0;90.0
2017-06;Região de Saúde do Centro;ACES Guarda;40.5353285,-7.2724426;23753;9768.0;149.0
2017-06;Região de Saúde do Centro;ACES Pinhal Interior Norte;40.1151262,-8.2473136;21733;14640.0;199.0
2017-06;Região de Saúde do Centro;ACES Pinhal Interior Sul;39.7510898,-7.9203657;4473;3205.0;12.0
2017-06;Região de Saúde LVT;ACES Almada-Seixal;38.6678522,-9.1875777;53913;19585.0;447.0
2017-06;Região de Saúde LVT;ACES Estuário do Tejo;38.9528113,-8.9911154;36565;8128.0;156.0
2017-06;Região de Saúde LVT;ACES Lezíria;39.2371689,-8.6908895;35061;14998.0;200.0
2017-06;Região de Saúde LVT;ACES Lisboa Central;38.7306317,-9.1510414;35296;10216.0;231.0
2017-06;Região de Saúde LVT;ACES Médio Tejo;39.478072,-8.5404429;41052;13182.0;252.0
2017-06;Região de Saúde LVT;ACES Oeste Norte;39.410844,-9.1396215;31262;12831.0;232.0
2017-06;Região de Saúde Norte;ACES Alto Minho;41.7056054,-8.8252713;50400;24090.0;730.0
2017-06;Região de Saúde Norte;ACES Alto Trás-os-Montes - Alto Tâmega e Barroso;41.741781,-7.4731648;15097;6255.0;139.0
2017-06;Região de Saúde Norte;ACES Ave - Famalicão;41.3835805,-8.4157518;21636;10123.0;239.0
2017-06;Região de Saúde Norte;ACES Entre Douro e Vouga I - Feira e Arouca;40.9263169,-8.5478813;28728;15127.0;408.0
2017-07;Região de Saúde do Alentejo;ACES Baixo Alentejo;38.0153039,-7.8627308;21080;11686.0;177.0
2017-07;Região de Saúde do Alentejo;ACES São Mamede;39.2967086,-7.4284755;21560;11949.0;211.0
2017-07;Região de Saúde do Centro;ACES Cova da Beira;40.2677741,-7.4995083;11912;6391.0;9.0
2017-07;Região de Saúde do Centro;ACES Guarda;40.5353285,-7.2724426;22741;9038.0;113.0
2017-07;Região de Saúde do Centro;ACES Pinhal Interior Norte;40.1151262,-8.2473136;20888;14621.0;159.0
2017-07;Região de Saúde LVT;ACES Lezíria;39.2371689,-8.6908895;33147;14642.0;173.0
2017-07;Região de Saúde LVT;ACES Lisboa Norte;38.7396924,-9.168506;31149;8497.0;247.0
2017-07;Região de Saúde LVT;ACES Oeste Sul;39.0917759,-9.2600341;28169;9836.0;182.0
2017-07;Região de Saúde Norte;ACES Alto Trás-os-Montes - Alto Tâmega e Barroso;41.741781,-7.4731648;14241;6047.0;150.0
2017-07;Região de Saúde Norte;ACES Cávado II - Gerês e Cabreira;41.6298661,-8.3596897;17756;11598.0;236.0
2017-07;Região de Saúde Norte;ACES Cávado III - Barcelos e Esposende;41.5317419,-8.6178922;30445;13032.0;256.0
2017-07;Região de Saúde Norte;ACES Grande Porto VI - Porto Oriental;41.1694498,-8.6126428;19737;9689.0;233.0
2017-08;Região de Saúde do Centro;ACES Beira Interior Sul;39.8211367,-7.5036651;9464;5079.0;25.0
2017-08;Região de Saúde LVT;ACES Médio Tejo;39.478072,-8.5404429;36035;12429.0;203.0
2017-08;Região de Saúde LVT;ACES Oeste Sul;39.0917759,-9.2600341;27305;10350.0;155.0
2017-08;Região de Saúde Norte;ACES Ave - Famalicão;41.3835805,-8.4157518;18305;9458.0;142.0
2017-08;Região de Saúde Norte;ACES Cávado II - Gerês e Cabreira;41.6298661,-8.3596897;16526;11582.0;205.0
2017-08;Região de Saúde Norte;ACES Douro I - Marão e Douro Norte;41.2968711,-7.7483727;16332;10744.0;209.0
2017-08;Região de Saúde Norte;ACES Grande Porto I - Santo Tirso e Trofa;41.3469246,-8.4822648;18035;11382.0;202.0
2017-08;Região de Saúde Norte;ACES Grande Porto IV - Póvoa do Varzim e Vila do Conde;41.355519,-8.746653;23220;14112.0;268.0
2017-08;Região de Saúde Norte;ACES Grande Porto V - Porto Ocidental;41.1741353,-8.6691662;23116;12438.0;278.0
2017-08;Região de Saúde Norte;ACES Grande Porto VII - Gaia;41.1278433,-8.580396;21829;13004.0;317.0
2017-08;Região de Saúde Norte;ACES Matosinhos;41.1918541,-8.6590693;27742;15908.0;333.0
2017-09;Região de Saúde do Alentejo;ACES Alentejo Litoral;38.3841359,-8.5132031;15877;6545.0;79.0
2017-09;Região de Saúde do Alentejo;ACES São Mamede;39.2967086,-7.4284755;23623;12849.0;215.0
